Shape of X [N, C, H, W]: torch.Size([1024, 4])
Shape of y: torch.Size([1024, 4]) torch.float32
Using mps device
dSMSPredictorNN(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (linear_relu_stack): Sequential(
    (0): Linear(in_features=4, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=4, bias=True)
  )
)
Epoch 1
-------------------------------
loss: 0.004818  [902144/5060099]
loss: 0.005906  [912384/5060099]
loss: 0.004970  [922624/5060099]
loss: 0.005097  [932864/5060099]
loss: 0.004950  [943104/5060099]
loss: 0.005177  [953344/5060099]
loss: 0.005655  [963584/5060099]
loss: 0.004798  [973824/5060099]
loss: 0.005039  [984064/5060099]
loss: 0.005275  [994304/5060099]
loss: 0.005075  [1004544/5060099]
loss: 0.004354  [1014784/5060099]
loss: 0.004698  [1025024/5060099]
loss: 0.004938  [1035264/5060099]
loss: 0.004807  [1045504/5060099]
loss: 0.004685  [1055744/5060099]
loss: 0.004857  [1065984/5060099]
loss: 0.004121  [1076224/5060099]
loss: 0.004353  [1086464/5060099]
loss: 0.004763  [1096704/5060099]
loss: 0.004560  [1106944/5060099]
loss: 0.004368  [1117184/5060099]
loss: 0.004411  [1127424/5060099]
loss: 0.004231  [1137664/5060099]
loss: 0.004487  [1147904/5060099]
loss: 0.004716  [1158144/5060099]
loss: 0.004652  [1168384/5060099]
loss: 0.005061  [1178624/5060099]
loss: 0.004439  [1188864/5060099]
loss: 0.004301  [1199104/5060099]
loss: 0.004616  [1209344/5060099]
loss: 0.004360  [1219584/5060099]
loss: 0.004239  [1229824/5060099]
loss: 0.004000  [1240064/5060099]
loss: 0.003970  [1250304/5060099]
loss: 0.004342  [1260544/5060099]
loss: 0.003452  [1270784/5060099]
loss: 0.004247  [1281024/5060099]
loss: 0.004212  [1291264/5060099]
loss: 0.004457  [1301504/5060099]
loss: 0.003771  [1311744/5060099]
loss: 0.004548  [1321984/5060099]
loss: 0.004349  [1332224/5060099]
loss: 0.003967  [1342464/5060099]
loss: 0.004103  [1352704/5060099]
loss: 0.004062  [1362944/5060099]
loss: 0.004088  [1373184/5060099]
loss: 0.003885  [1383424/5060099]
loss: 0.003850  [1393664/5060099]
loss: 0.003751  [1403904/5060099]
loss: 0.004173  [1414144/5060099]
loss: 0.003689  [1424384/5060099]
loss: 0.004009  [1434624/5060099]
loss: 0.003835  [1444864/5060099]
loss: 0.003795  [1455104/5060099]
loss: 0.003759  [1465344/5060099]
loss: 0.004002  [1475584/5060099]
loss: 0.003400  [1485824/5060099]
loss: 0.003573  [1496064/5060099]
loss: 0.003913  [1506304/5060099]
loss: 0.003492  [1516544/5060099]
loss: 0.004023  [1526784/5060099]
loss: 0.003104  [1537024/5060099]
loss: 0.003847  [1547264/5060099]
loss: 0.003295  [1557504/5060099]
loss: 0.003907  [1567744/5060099]
loss: 0.003468  [1577984/5060099]
loss: 0.003466  [1588224/5060099]
loss: 0.003384  [1598464/5060099]
loss: 0.003365  [1608704/5060099]
loss: 0.003297  [1618944/5060099]
loss: 0.003452  [1629184/5060099]
loss: 0.003684  [1639424/5060099]
loss: 0.003318  [1649664/5060099]
loss: 0.003555  [1659904/5060099]
loss: 0.003707  [1670144/5060099]
loss: 0.003285  [1680384/5060099]
loss: 0.003287  [1690624/5060099]
loss: 0.003339  [1700864/5060099]
loss: 0.003189  [1711104/5060099]
loss: 0.003030  [1721344/5060099]
loss: 0.003489  [1731584/5060099]
loss: 0.002880  [1741824/5060099]
loss: 0.003086  [1752064/5060099]
loss: 0.002888  [1762304/5060099]
loss: 0.003301  [1772544/5060099]
loss: 0.003325  [1782784/5060099]
loss: 0.003627  [1793024/5060099]
loss: 0.003255  [1803264/5060099]
loss: 0.003075  [1813504/5060099]
loss: 0.003239  [1823744/5060099]
loss: 0.003504  [1833984/5060099]
loss: 0.002997  [1844224/5060099]
loss: 0.003270  [1854464/5060099]
loss: 0.003082  [1864704/5060099]
